Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Bread upma,129.51,9.728978457,2.161995213,5.984093892,1.20454019,1.513396649,136.236584,34.91622269,0.633155741,3.582734924,Bread upma,Veg,Breakfast
Vegetable upma,146.47,11.23779614,3.229330238,4.526524203,0.948999795,2.860654059,236.9222366,18.2153342,0.921690449,9.845019458,Vegetable upma,Veg,Breakfast
Poha,294.53,11.90031576,2.067701083,4.800869181,0.295385869,1.263029233,128.0344956,12.7898686,1.021967202,2.247648796,Poha,Veg,Breakfast
Vegetable poha,180.52,11.92111677,2.708841126,4.47041879,0.775537337,2.082871704,231.5643696,15.51628628,1.063594062,3.994017283,Vegetable poha,Veg,Breakfast
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,12.53793014,4.499967719,3.299115501,0.716637614,2.743882756,172.5288915,25.39867002,1.433275228,22.47401382,,,
Paneer stuffed cheela/chilla,205.19,9.337687022,5.575320435,4.332569813,1.856815634,1.964033335,140.8938057,73.73653687,1.174521175,9.630098933,Paneer stuffed cheela/chilla,Veg,Breakfast
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.656520471,5.932120976,6.826801517,1.896333755,1.487892638,212.0490129,31.02207527,1.108625887,13.18681319,,,
French omelette/omlet,211.04,0.194275967,4.752653525,8.936694466,0.047384382,0.180060652,180.9372631,21.96266111,0.748673237,0.227445034,French omelette/omlet,Non-Veg,Breakfast
Puffy omelette/omlet,188.15,0.042519267,4.687749136,8.950305607,0.042519267,0.0,180.9885729,18.58091948,0.637788998,0.0,Puffy omelette/omlet,Non-Veg,Breakfast
Orange omelette/omlet,194.66,0.863043255,4.587485873,8.650981198,0.863043255,0.0,175.1361348,19.17702661,0.647282441,3.698756807,Orange omelette/omlet,Non-Veg,Breakfast
Cheese and mushroom omelette/omlet,205.63,0.81700141,4.71234742,8.666050674,0.520352089,0.452268638,194.6651753,72.34839274,0.491173467,0.233428974,Cheese and mushroom omelette/omlet,Non-Veg,Breakfast
Spanish omelette/omlet,157.45,3.239123531,5.239758654,7.265798666,0.654175929,1.613210543,148.5360432,20.14607812,0.812956494,18.18355033,Spanish omelette/omlet,Non-Veg,Breakfast
Mixed stock,25.19,1.310043668,8.177848353,6.788408098,0.793965859,0.595474395,37.75307662,8.177848353,0.277888051,10.24215959,Mixed stock,Veg,Any
Meat stock,24.48,0.0,8.578431373,7.27124183,0.0,0.0,35.2124183,3.513071895,0.204248366,0.0,Meat stock,Non-Veg,Any
White stock,6.99,5.722460658,1.001430615,8.011444921,3.433476395,2.43204578,22.31759657,22.6037196,0.429184549,36.90987124,White stock,Veg,Any
Meat consomme (with mutton),29.76,1.713709677,49.9327957,45.96774194,0.806451613,2.385752688,42558.87097,389.3817204,14.18010753,8.198924731,,,
Consomme au julienne,27.76,5.367435159,44.99279539,38.40057637,2.989913545,4.971181556,36774.02738,309.4020173,12.03170029,42.39913545,Consomme au julienne,Veg,Any
Consomme au vermicelli,29.94,4.342017368,50.86840347,43.35337341,0.901803607,2.705410822,41832.36473,325.1169005,13.29325317,8.149632599,Consomme au vermicelli,Veg,Any
Green pea soup (Matar ka soup),39.81,9.118311982,27.78196433,32.40391861,2.185380558,6.254709872,27526.02361,117.131374,5.476011052,103.2906305,,,
Spinach soup (Palak ka soup),32.59,9.297330469,32.34120896,43.7557533,0.88984351,6.075483277,37091.77662,172.5375882,8.223381405,95.09051856,,,
Mixed vegetable soup,35.71,8.260991319,23.01876225,32.65191823,4.592551106,4.592551106,25769.44833,141.9490339,4.87258471,56.17474097,Mixed vegetable soup,Veg,Any
Cheese soup,41.13,4.546559689,30.12399708,41.50255288,2.042304887,4.376367615,33297.71456,203.3795283,5.83515682,12.86165816,Cheese soup,Veg,Any
Mulligatawny soup,54.42,15.1414921,20.69092245,24.40279309,2.315325248,4.777655274,21320.28666,80.65049614,4.86953326,15.38037486,Mulligatawny soup,Veg,Any
Cream of carrot soup,59.77,9.519826,13.83637276,20.66253974,2.961351849,3.312698678,14547.08048,95.76710724,2.894428643,17.8684959,Cream of carrot soup,Veg,Any
Cream of broccoli soup,56.14,6.626291414,15.97791236,22.71107944,2.832205201,3.366583541,15661.61382,118.5429284,3.241895262,122.7467047,Cream of broccoli soup,Veg,Any
Cream of potato soup,60.2,10.19933555,13.4551495,20.0166113,2.059800664,2.508305648,14126.22924,86.32890365,2.823920266,47.94019934,Cream of potato soup,Veg,Any
Almond soup (Badam ka soup),78.65,4.678957406,12.87984743,17.54609027,2.466624285,1.157024793,10650.90909,146.1538462,3.598219962,9.764780674,,,
Cold cucumber cream soup,11.88,14.81481481,2.861952862,2.861952862,4.292929293,6.144781145,1749.915825,67.50841751,1.346801347,123.9057239,Cold cucumber cream soup,Veg,Any
Cold tomato soup,16.9,3.49112426,0.650887574,9.230769231,1.301775148,0.946745562,1699.112426,24.85207101,0.591715976,59.70414201,Cold tomato soup,Veg,Any
